id1,affil1,affil_tokens_labeled,affil_tokens,total_entities
7786,"Department of Computer Science, Aalborg University 9220 Aalborg Øst, Denmark; E-mail: {simas,csj}@cs.auc.dk",Department of Computer Science<ORG>; Aalborg University<ORG>; Denmark<LOC>; E-mail<LOC>,Department of Computer Science; Aalborg University; Denmark; E-mail,4
1595,"Department of Computer Science, Aalborg University, Aalborg Ø, Denmark",Department of Computer Science<ORG>; Aalborg University<ORG>; Aalborg Ø<LOC>; Denmark<LOC>,Department of Computer Science; Aalborg University; Aalborg Ø; Denmark,4
9360,"Department of Computer Science, Aalborg University, Aalborg, Denmark",Department of Computer Science<ORG>; Aalborg University<ORG>; Aalborg<LOC>; Denmark<LOC>,Department of Computer Science; Aalborg University; Aalborg; Denmark,4
1476,"Department of Computer Science, Aalborg University, Denmark",Department of Computer Science<ORG>; Aalborg University<ORG>; Denmark<LOC>,Department of Computer Science; Aalborg University; Denmark,3
7980,"Department of Computer Science, Aalborg University, Fredrik Bajers Vej 7E, 9220, Aalborg Øst, Denmark",Department of Computer Science<ORG>; Aalborg University<ORG>; Fredrik Bajers<ORG>; Aalborg Øst<LOC>; Denmark<LOC>,Department of Computer Science; Aalborg University; Fredrik Bajers; Aalborg Øst; Denmark,5
8171,"Department of Computer Science, Boston University, Boston, MA 02215, USA",Department of Computer Science<ORG>; Boston University<ORG>; Boston<ORG>; MA 02215<LOC>; USA<LOC>,Department of Computer Science; Boston University; Boston; MA 02215; USA,5
8151,"Department of Computer Science, Boston University, USA",Department of Computer Science<ORG>; Boston University<ORG>; USA<LOC>,Department of Computer Science; Boston University; USA,3
1539,"Department of Computer Science, Brandeis University",Department of Computer Science<ORG>; Brandeis University<ORG>,Department of Computer Science; Brandeis University,2
7916,"Department of Computer Science, Brandeis University, MA 02254, Waltham, USA",Department of Computer Science<ORG>; Brandeis University<ORG>; MA 02254<ORG>; Waltham<LOC>; USA<LOC>,Department of Computer Science; Brandeis University; MA 02254; Waltham; USA,5
8087,"Department of Computer Science, Brandeis University, USA",Department of Computer Science<ORG>; Brandeis University<ORG>; USA<LOC>,Department of Computer Science; Brandeis University; USA,3
1533,"Department of Computer Science, Brandeis University, Waltham, MA",Department of Computer Science<ORG>; Brandeis University<ORG>; Waltham<ORG>; MA<LOC>,Department of Computer Science; Brandeis University; Waltham; MA,4
728,"Department of Computer Science, Brown University",Department of Computer Science<ORG>; Brown University<ORG>,Department of Computer Science; Brown University,2
7917,"Department of Computer Science, Brown University, RI 02912, Providence, USA",Department of Computer Science<ORG>; Brown University<ORG>; RI 02912<ORG>; Providence<LOC>; USA<LOC>,Department of Computer Science; Brown University; RI 02912; Providence; USA,5
8085,"Department of Computer Science, Brown University, USA",Department of Computer Science<ORG>; Brown University<ORG>; USA<LOC>,Department of Computer Science; Brown University; USA,3
8575,"Department of Computer Science, Carnegie Mellon University, Pittsburgh, USA",Department of Computer Science<ORG>; Carnegie Mellon University<ORG>; Pittsburgh<LOC>; USA<LOC>,Department of Computer Science; Carnegie Mellon University; Pittsburgh; USA,4
8502,"Department of Computer Science, Center for Automation Research Institute for Advanced Computer Studies, University of Maryland, USA",Department of Computer Science<ORG>; Center for Automation Research Institute for Advanced Computer Studies<ORG>; University of Maryland<ORG>; USA<LOC>,Department of Computer Science; Center for Automation Research Institute for Advanced Computer Studies; University of Maryland; USA,4
6967,"Department of Computer Science, City University of Hong Kong, 83 Tat Chee Avenue, Kowloon, Hong Kong",Department of Computer Science<ORG>; City University of Hong Kong<ORG>; Kowloon<LOC>; Hong Kong<LOC>,Department of Computer Science; City University of Hong Kong; Kowloon; Hong Kong,4
1522,"Department of Computer Science, City University of Hong Kong, Hong Kong",Department of Computer Science<ORG>; City University of Hong Kong<ORG>; Hong Kong<LOC>,Department of Computer Science; City University of Hong Kong; Hong Kong,3
762,"Department of Computer Science, City University of Hong Kong, Kowloon Tong, Hong Kong SAR, China",Department of Computer Science<ORG>; City University of Hong Kong<ORG>; Kowloon Tong<LOC>; Hong Kong SAR<LOC>; China<LOC>,Department of Computer Science; City University of Hong Kong; Kowloon Tong; Hong Kong SAR; China,5
1274,"Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong",Department of Computer Science<ORG>; City University of Hong Kong<ORG>; Kowloon<LOC>; Hong Kong<LOC>,Department of Computer Science; City University of Hong Kong; Kowloon; Hong Kong,4
1750,"Department of Computer Science, Cornell University",Department of Computer Science<ORG>; Cornell University<ORG>,Department of Computer Science; Cornell University,2
1103,"Department of Computer Science, Darmstadt University of Technology",Department of Computer Science<ORG>; Darmstadt University of Technology<ORG>,Department of Computer Science; Darmstadt University of Technology,2
8571,"Department of Computer Science, Drop and Statistics, University of São Paulo at São Carlos, São Carlos, Brazil",Department of Computer Science<ORG>; Drop and Statistics<MISC>; University of São Paulo<ORG>; São Carlos<LOC>; Brazil<LOC>,Department of Computer Science; Drop and Statistics; University of São Paulo; São Carlos; Brazil,6
510,"Department of Computer Science, Duke University",Department of Computer Science<ORG>; Duke University<ORG>,Department of Computer Science; Duke University,2
1067,"Department of Computer Science, Duke University, Durham, NC",Department of Computer Science<ORG>; Duke University<ORG>; Durham<ORG>; NC<ORG>,Department of Computer Science; Duke University; Durham; NC,4
8510,"Department of Computer Science, Fudan University, China",Department of Computer Science<ORG>; Fudan University<ORG>; China<LOC>,Department of Computer Science; Fudan University; China,3
9332,"Department of Computer Science, Global Scientific Information and Computing Center, Tokyo Institute of Technology, Tokyo, Japan 152-8552",Department of Computer Science<ORG>; Global Scientific Information and Computing Center<MISC>; Tokyo Institute of Technology<ORG>; Tokyo<LOC>; Japan<LOC>,Department of Computer Science; Global Scientific Information and Computing Center; Tokyo Institute of Technology; Tokyo; Japan,5
9306,"Department of Computer Science, Harbin Institute of Technology, Harbin, China",Department of Computer Science<ORG>; Harbin Institute of Technology<ORG>; Harbin<LOC>; China<LOC>,Department of Computer Science; Harbin Institute of Technology; Harbin; China,4
1915,"Department of Computer Science, Hong Kong University of Science and Technology",Department of Computer Science<ORG>; Hong Kong University of Science and Technology<ORG>,Department of Computer Science; Hong Kong University of Science and Technology,2
1034,"Department of Computer Science, Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong",Department of Computer Science<ORG>; Hong Kong University of Science and Technology<ORG>; Clear Water Bay<ORG>; Hong Kong<LOC>,Department of Computer Science; Hong Kong University of Science and Technology; Clear Water Bay; Hong Kong,4
7811,"Department of Computer Science, Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, China; e-mail: luhj&commat;cs.ust.hk",Department of Computer Science<ORG>; Hong Kong University of Science and Technology<ORG>; Clear Water Bay<ORG>; Kowloon<LOC>; China<LOC>,Department of Computer Science; Hong Kong University of Science and Technology; Clear Water Bay; Kowloon; China,5
1525,"Department of Computer Science, Hong Kong University of Science and Technology, Clearwater Bay, Hong Kong",Department of Computer Science<ORG>; Hong Kong University of Science and Technology<ORG>; Clearwater Bay<LOC>; Hong Kong<LOC>,Department of Computer Science; Hong Kong University of Science and Technology; Clearwater Bay; Hong Kong,4
516,"Department of Computer Science, Hong Kong University of Science and Technology, Hong Kong",Department of Computer Science<ORG>; Hong Kong University of Science and Technology<ORG>; Hong Kong<LOC>,Department of Computer Science; Hong Kong University of Science and Technology; Hong Kong,3
8683,"Department of Computer Science, Hong Kong University of Science and Technology, Kowloon, Hong Kong, China",Department of Computer Science<ORG>; Hong Kong University of Science and Technology<ORG>; Kowloon<LOC>; Hong Kong<LOC>; China<LOC>,Department of Computer Science; Hong Kong University of Science and Technology; Kowloon; Hong Kong; China,5
7745,"Department of Computer Science, Institute for Advanced Computer Studies & Institute for Systems Research, University of Maryland, College Park, MD 20742, USA; e-mail: {elemar,vs}@cs.umd.edu",Department of Computer Science<ORG>; Institute for Advanced Computer Studies & Institute for Systems Research<ORG>; University of Maryland<ORG>; College Park<ORG>; MD 20742<MISC>; USA<LOC>,Department of Computer Science; Institute for Advanced Computer Studies & Institute for Systems Research; University of Maryland; College Park; MD 20742; USA,6
8890,"Department of Computer Science, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, South Korea",Department of Computer Science<ORG>; Korea Advanced Institute of Science and Technology<ORG>; KAIST<ORG>; Daejeon<LOC>; South Korea<LOC>,Department of Computer Science; Korea Advanced Institute of Science and Technology; KAIST; Daejeon; South Korea,5
8012,"Department of Computer Science, Monmouth University, NJ 07764, West Long Branch, USA",Department of Computer Science<ORG>; Monmouth University<ORG>; NJ 07764<ORG>; West Long Branch<LOC>; USA<LOC>,Department of Computer Science; Monmouth University; NJ 07764; West Long Branch; USA,5
9345,"Department of Computer Science, National Chengchi University, Taipei, Taiwan, ROC",Department of Computer Science<ORG>; National Chengchi University<ORG>; Taipei<LOC>; Taiwan<LOC>; ROC<LOC>,Department of Computer Science; National Chengchi University; Taipei; Taiwan; ROC,5
8802,"Department of Computer Science, National Chiao Tung University, Hsinchu, Taiwan, ROC",Department of Computer Science<ORG>; National Chiao Tung University<ORG>; Hsinchu<LOC>; Taiwan<LOC>; ROC<LOC>,Department of Computer Science; National Chiao Tung University; Hsinchu; Taiwan; ROC,5
9343,"Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan, ROC",Department of Computer Science<ORG>; National Tsing Hua University<ORG>; Hsinchu<LOC>; Taiwan<LOC>; ROC<LOC>,Department of Computer Science; National Tsing Hua University; Hsinchu; Taiwan; ROC,5
1914,"Department of Computer Science, National University of Singapore",Department of Computer Science<ORG>; National University of Singapore<ORG>,Department of Computer Science; National University of Singapore,2
8013,"Department of Computer Science, National University of Singapore, 3 Science Drive 2, 117543, Singapore",Department of Computer Science<ORG>; National University of Singapore<ORG>; 3 Science Drive 2<MISC>; Singapore<LOC>,Department of Computer Science; National University of Singapore; 3 Science Drive 2; Singapore,4
6723,"Department of Computer Science, National University of Singapore, 3 Science Drive 2, Singapore",Department of Computer Science<ORG>; National University of Singapore<ORG>; 3 Science Drive 2<MISC>; Singapore<LOC>,Department of Computer Science; National University of Singapore; 3 Science Drive 2; Singapore,4
7768,"Department of Computer Science, National University of Singapore, 3 Science Drive 2, Singapore 117543; E-mail: tankl@comp.nus.edu.sg",Department of Computer Science<ORG>; National University of Singapore<ORG>; 3 Science Drive 2<MISC>; Singapore<LOC>; E-mail<MISC>; tankl@comp.nus.edu.sg<MISC>,Department of Computer Science; National University of Singapore; 3 Science Drive 2; Singapore; E-mail; tankl@comp.nus.edu.sg,6
8330,"Department of Computer Science, National University of Singapore, Singapore",Department of Computer Science<ORG>; National University of Singapore<ORG>; Singapore<LOC>,Department of Computer Science; National University of Singapore; Singapore,3
6918,"Department of Computer Science, National University of Singapore, Singapore 117543",Department of Computer Science<ORG>; National University of Singapore<ORG>; Singapore<LOC>,Department of Computer Science; National University of Singapore; Singapore,3
9307,"Department of Computer Science, National University of Singapore, Singapore, Singapore",Department of Computer Science<ORG>; National University of Singapore<ORG>; Singapore<LOC>,Department of Computer Science; National University of Singapore; Singapore,4
6532,"Department of Computer Science, National University of singapore,SINGAPORE",Department of Computer Science<ORG>; National University of singapore<ORG>; SINGAPORE<ORG>,Department of Computer Science; National University of singapore; SINGAPORE,3
8379,"Department of Computer Science, Purdue University, USA",Department of Computer Science<ORG>; Purdue University<ORG>; USA<LOC>,Department of Computer Science; Purdue University; USA,3
727,"Department of Computer Science, Purdue University, West Lafayette, IN",Department of Computer Science<ORG>; Purdue University<ORG>; West Lafayette<ORG>; IN<LOC>,Department of Computer Science; Purdue University; West Lafayette; IN,4
8800,"Department of Computer Science, Purdue University, West Lafayette, USA 47907",Department of Computer Science<ORG>; Purdue University<ORG>; West Lafayette<LOC>; USA<LOC>,Department of Computer Science; Purdue University; West Lafayette; USA,4
7888,"Department of Computer Science, Southwest Texas State University, San Marcos, TX 78666 USA; e-mail: angu@swt.edu",Department of Computer Science<ORG>; Southwest Texas State University<ORG>; San Marcos<LOC>; TX 78666<MISC>; angu@swt.edu<MISC>,Department of Computer Science; Southwest Texas State University; San Marcos; TX 78666; angu@swt.edu,5
8078,"Department of Computer Science, Stanford University, USA",Department of Computer Science<ORG>; Stanford University<ORG>; USA<LOC>,Department of Computer Science; Stanford University; USA,3
6565,"Department of Computer Science, Stanford, CA",Department of Computer Science<ORG>; Stanford<ORG>; CA<ORG>,Department of Computer Science; Stanford; CA,3
773,"Department of Computer Science, State University of New York at Stony Brook, Stony Brook, NY",Department of Computer Science<ORG>; State University of New York at<ORG>; Stony Brook<PER>; NY<LOC>,Department of Computer Science; State University of New York at; Stony Brook; NY,4
8055,"Department of Computer Science, SUNY at Binghamton, USA",Department of Computer Science<ORG>; SUNY<ORG>; Binghamton<LOC>; USA<LOC>,Department of Computer Science; SUNY; Binghamton; USA,4
1115,"Department of Computer Science, Swiss Federal Institute of Technology (ETHZ), ETH Zentrum, Zürich, Switzerland",Department of Computer Science<ORG>; Swiss Federal Institute of Technology<ORG>; ETHZ<LOC>; ETH Zentrum<ORG>; Zürich<LOC>; Switzerland<LOC>,Department of Computer Science; Swiss Federal Institute of Technology; ETHZ; ETH Zentrum; Zürich; Switzerland,6
1055,"Department of Computer Science, The Technion, Haifa, Israel",Department of Computer Science<ORG>; The Technion<ORG>; Haifa<LOC>; Israel<LOC>,Department of Computer Science; The Technion; Haifa; Israel,4
9330,"Department of Computer Science, Tokyo Institute of Technology, Tokyo, Japan 152-8552",Department of Computer Science<ORG>; Tokyo Institute of Technology<ORG>; Tokyo<LOC>; Japan<LOC>,Department of Computer Science; Tokyo Institute of Technology; Tokyo; Japan,4
6775,"Department of Computer Science, University of Arizona, AZ",Department of Computer Science<ORG>; University of Arizona<ORG>; AZ<ORG>,Department of Computer Science; University of Arizona; AZ,3
1483,"Department of Computer Science, University of Arizona, Tucson, AZ",Department of Computer Science<ORG>; University of Arizona<ORG>; Tucson<LOC>; AZ<ORG>,Department of Computer Science; University of Arizona; Tucson; AZ,4
1734,"Department of Computer Science, University of British Columbia",Department of Computer Science<ORG>; University of British Columbia<ORG>,Department of Computer Science; University of British Columbia,2
6496,"Department of Computer Science, University of British Columbia, Vancouver, BC V6T 1Z4 Canada",Department of Computer Science<ORG>; University of British Columbia<ORG>; Vancouver<LOC>; BC V6T 1Z4 Canada<MISC>,Department of Computer Science; University of British Columbia; Vancouver; BC V6T 1Z4 Canada,4
538,"Department of Computer Science, University of British Columbia, Vancouver, Canada",Department of Computer Science<ORG>; University of British Columbia<ORG>; Vancouver<LOC>; Canada<LOC>,Department of Computer Science; University of British Columbia; Vancouver; Canada,4
8695,"Department of Computer Science, University of Calgary, Calgary, Canada",Department of Computer Science<ORG>; University of Calgary<ORG>; Calgary<LOC>; Canada<LOC>,Department of Computer Science; University of Calgary; Calgary; Canada,4
8154,"Department of Computer Science, University of Calgary, Canada",Department of Computer Science<ORG>; University of Calgary<ORG>; Canada<LOC>,Department of Computer Science; University of Calgary; Canada,3
8356,"Department of Computer Science, University of California at Davis, USA",Department of Computer Science<ORG>; University of California<ORG>; Davis<LOC>; USA<LOC>,Department of Computer Science; University of California; Davis; USA,4
677,"Department of Computer Science, University of California Santa Barbara, Santa Barbara, CA",Department of Computer Science<ORG>; University of California Santa Barbara<ORG>; Santa Barbara<LOC>; CA<LOC>,Department of Computer Science; University of California Santa Barbara; Santa Barbara; CA,4
855,"Department of Computer Science, University of California Santa Cruz, Santa Cruz, CA",Department of Computer Science<ORG>; University of California Santa Cruz<ORG>; Santa Cruz<LOC>; CA<LOC>,Department of Computer Science; University of California Santa Cruz; Santa Cruz; CA,4
7714,"Department of Computer Science, University of California, Los Angeles, California 90095, USA; e-mail: &lcub;csy,zaniolo&rcub;@cs.ucla.edu",Department of Computer Science<ORG>; University of California<ORG>; Los Angeles<LOC>; California<LOC>; USA<LOC>,Department of Computer Science; University of California; Los Angeles; California; USA,5
1921,"Department of Computer Science, University of California, Riverside",Department of Computer Science<ORG>; University of California<ORG>; Riverside<LOC>,Department of Computer Science; University of California; Riverside,3
6860,"Department of Computer Science, University of California, Santa Barbara",Department of Computer Science<ORG>; University of California<ORG>; Santa Barbara<LOC>,Department of Computer Science; University of California; Santa Barbara,3
6843,"Department of Computer Science, University of California, Santa Barbara, CA",Department of Computer Science<ORG>; University of California<ORG>; Santa Barbara<LOC>; CA<LOC>,Department of Computer Science; University of California; Santa Barbara; CA,4
7790,"Department of Computer Science, University of Chile, Blanco Encalada 2120, Santiago, Chile; e-mail: gnavarro@dcc.uchile.cl",Department of Computer Science<ORG>; University of Chile<ORG>; Blanco Encalada 2120<LOC>; Santiago<LOC>; Chile<LOC>,Department of Computer Science; University of Chile; Blanco Encalada 2120; Santiago; Chile,5
8174,"Department of Computer Science, University of Helsinki, Finland",Department of Computer Science<ORG>; University of Helsinki<ORG>; Finland<LOC>,Department of Computer Science; University of Helsinki; Finland,3
7894,"Department of Computer Science, University of Helsinki, Helsinki, Finland",Department of Computer Science<ORG>; University of Helsinki<ORG>; Helsinki<LOC>; Finland<LOC>,Department of Computer Science; University of Helsinki; Helsinki; Finland,4
515,"Department of Computer Science, University of Hong Kong, Hong Kong",Department of Computer Science<ORG>; University of Hong Kong<ORG>; Hong Kong<LOC>,Department of Computer Science; University of Hong Kong; Hong Kong,3
8686,"Department of Computer Science, University of Hong Kong, Hong Kong, China",Department of Computer Science<ORG>; University of Hong Kong<ORG>; Hong Kong<LOC>; China<LOC>,Department of Computer Science; University of Hong Kong; Hong Kong; China,4
9486,"Department of Computer Science, University of Hong Kong, Hong Kong, Hong Kong",Department of Computer Science<ORG>; University of Hong Kong<ORG>; Hong Kong<LOC>,Department of Computer Science; University of Hong Kong; Hong Kong,4
8876,"Department of Computer Science, University of Illinois at Chicago, Chicago, USA",Department of Computer Science<ORG>; University of Illinois<ORG>; Chicago<LOC>; USA<LOC>,Department of Computer Science; University of Illinois; Chicago; USA,5
8361,"Department of Computer Science, University of Illinois at Chicago, USA",Department of Computer Science<ORG>; University of Illinois<ORG>; Chicago<LOC>; USA<LOC>,Department of Computer Science; University of Illinois; Chicago; USA,4
7947,"Department of Computer Science, University of Illinois at Urbana-Champaign, IL 61801, Urbana, USA",Department of Computer Science<ORG>; University of Illinois<ORG>; Urbana-Champaign<LOC>; IL 61801<LOC>; Urbana<LOC>; USA<LOC>,Department of Computer Science; University of Illinois; Urbana-Champaign; IL 61801; Urbana; USA,6
570,"Department of Computer Science, University of Illinois at Urbana-Champaign, Urbana, IL",Department of Computer Science<ORG>; University of Illinois<ORG>; Urbana-Champaign<LOC>; Urbana<LOC>; IL<LOC>,Department of Computer Science; University of Illinois; Urbana-Champaign; Urbana; IL,5
8145,"Department of Computer Science, University of Magdeburg, Germany",Department of Computer Science<ORG>; University of Magdeburg<ORG>; Germany<LOC>,Department of Computer Science; University of Magdeburg; Germany,3
1688,"Department of Computer Science, University of Magdeburg, Magdeburg, Germany",Department of Computer Science<ORG>; University of Magdeburg<ORG>; Magdeburg<LOC>; Germany<LOC>,Department of Computer Science; University of Magdeburg; Magdeburg; Germany,4
1423,"Department of Computer Science, University of Maryland",Department of Computer Science<ORG>; University of Maryland<ORG>,Department of Computer Science; University of Maryland,2
6528,"Department of Computer Science, University of Maryland, College Park",Department of Computer Science<ORG>; University of Maryland<ORG>; College Park<LOC>,Department of Computer Science; University of Maryland; College Park,3
8066,"Department of Computer Science, University of Maryland, USA",Department of Computer Science<ORG>; University of Maryland<ORG>; USA<LOC>,Department of Computer Science; University of Maryland; USA,3
6912,"Department of Computer Science, University of Massachusetts, Amherst, MA",Department of Computer Science<ORG>; University of Massachusetts<ORG>; Amherst<LOC>; MA<LOC>,Department of Computer Science; University of Massachusetts; Amherst; MA,4
8242,"Department of Computer Science, University of Massachusetts, USA",Department of Computer Science<ORG>; University of Massachusetts<ORG>; USA<LOC>,Department of Computer Science; University of Massachusetts; USA,3
6763,"Department of Computer Science, University of Minnesota, Minneapolis, MN",Department of Computer Science<ORG>; University of Minnesota<ORG>; Minneapolis<LOC>; MN<ORG>,Department of Computer Science; University of Minnesota; Minneapolis; MN,4
1422,"Department of Computer Science, University of Pittsburgh",Department of Computer Science<ORG>; University of Pittsburgh<ORG>,Department of Computer Science; University of Pittsburgh,2
8065,"Department of Computer Science, University of Pittsburgh, USA",Department of Computer Science<ORG>; University of Pittsburgh<ORG>; USA<LOC>,Department of Computer Science; University of Pittsburgh; USA,3
7990,"Department of Computer Science, University of Southern California, CA 90088, Los Angeles, USA",Department of Computer Science<ORG>; University of Southern California<ORG>; CA 90088<LOC>; Los Angeles<LOC>; USA<LOC>,Department of Computer Science; University of Southern California; CA 90088; Los Angeles; USA,5
1939,"Department of Computer Science, University of Southern California, Los Angeles, CA",Department of Computer Science<ORG>; University of Southern California<ORG>; Los Angeles<LOC>; CA<LOC>,Department of Computer Science; University of Southern California; Los Angeles; CA,4
8752,"Department of Computer Science, University of Southern Maine, Portland, USA",Department of Computer Science<ORG>; University of Southern Maine<ORG>; Portland<LOC>; USA<LOC>,Department of Computer Science; University of Southern Maine; Portland; USA,4
7989,"Department of Computer Science, University of Texas at Dallas, TX 75083-0688, Richardson, USA",Department of Computer Science<ORG>; University of Texas<ORG>; Dallas<LOC>; TX 75083-0688<MISC>; Richardson<LOC>; USA<LOC>,Department of Computer Science; University of Texas; Dallas; TX 75083-0688; Richardson; USA,6
2071,"Department of Computer Science, University of Toronto",Department of Computer Science<ORG>; University of Toronto<ORG>,Department of Computer Science; University of Toronto,2
7791,"Department of Computer Science, University of Toronto, 10 King's College Road, Toronto, ON, M5S 1A4, Canada",Department of Computer Science<ORG>; University of Toronto<ORG>; Toronto<LOC>; ON<LOC>; M5S 1A4<MISC>; Canada<LOC>,Department of Computer Science; University of Toronto; Toronto; ON; M5S 1A4; Canada,6
8809,"Department of Computer Science, University of Toronto, Bahen Center for Information Technology, Toronto, Canada M5S 2E4",Department of Computer Science<ORG>; University of Toronto<ORG>; Bahen Center for Information Technology<LOC>; Toronto<LOC>; Canada<LOC>,Department of Computer Science; University of Toronto; Bahen Center for Information Technology; Toronto; Canada,5
8159,"Department of Computer Science, University of Toronto, Canada",Department of Computer Science<ORG>; University of Toronto<ORG>; Canada<LOC>,Department of Computer Science; University of Toronto; Canada,3
9480,"Department of Computer Science, University of Toronto, Toronto, Canada",Department of Computer Science<ORG>; University of Toronto<ORG>; Toronto<LOC>; Canada<LOC>,Department of Computer Science; University of Toronto; Toronto; Canada,4
8679,"Department of Computer Science, University of Toronto, Toronto, Canada M5S 3G4",Department of Computer Science<ORG>; University of Toronto<ORG>; Toronto<LOC>; Canada<LOC>,Department of Computer Science; University of Toronto; Toronto; Canada,4
7789,"Department of Computer Science, University of Toronto, Toronto, Canada; E-mail: mendel@cs.toronto.edu",Department of Computer Science<ORG>; University of Toronto<ORG>; Toronto<LOC>; Canada<LOC>; E-mail<LOC>; mendel@cs.toronto.edu<MISC>,Department of Computer Science; University of Toronto; Toronto; Canada; E-mail; mendel@cs.toronto.edu,6
6944,"Department of Computer Science, University of Toronto, Toronto, ON, Canada",Department of Computer Science<ORG>; University of Toronto<ORG>; Toronto<LOC>; ON<LOC>; Canada<LOC>,Department of Computer Science; University of Toronto; Toronto; ON; Canada,5
7799,"Department of Computer Science, University of Waterloo, 200 University Avenue West, Waterloo, Ontario N2L 3G1, Canada e-mail: {apmarathe,kmsalem}@uwaterloo.ca",Department of Computer Science<ORG>; University of Waterloo<ORG>; University Avenue West<ORG>; Waterloo<LOC>; Ontario<LOC>; N2L 3G1<MISC>; Canada<LOC>,Department of Computer Science; University of Waterloo; University Avenue West; Waterloo; Ontario; N2L 3G1; Canada,7
7671,"Department of Computer Science, University of Wisconsin-Madison, 1210 West Dayton Street, Madison, WI 53706-1685, USA; e-mail: &lcub;dewitt, markhill&rcub;&commat;cs.wisc.edu",Department of Computer Science<ORG>; University of Wisconsin-Madison<ORG>; West Dayton Street<LOC>; Madison<LOC>; WI 53706-1685<MISC>; USA<LOC>; markhill&rcub;&commat;cs.wisc.edu<ORG>,Department of Computer Science; University of Wisconsin-Madison; West Dayton Street; Madison; WI 53706-1685; USA; markhill&rcub;&commat;cs.wisc.edu,7
7885,"Department of Computer Science, Virginia Tech, 7054 Haycock Road, Falls Church, VA 22043 USA; e-mail: {brahim,athman}@vt.edu",Department of Computer Science<ORG>; Virginia Tech<ORG>; Haycock Road<LOC>; Falls Church<LOC>; VA 22043<LOC>; USA<LOC>,Department of Computer Science; Virginia Tech; Haycock Road; Falls Church; VA 22043; USA,6
7956,"Department of Computer Science, Virginia Tech, 7054 Haycock Road, VA 22043, Falls Church, USA",Department of Computer Science<ORG>; Virginia Tech<ORG>; Haycock Road<LOC>; VA 22043<MISC>; Falls Church<ORG>; USA<LOC>,Department of Computer Science; Virginia Tech; Haycock Road; VA 22043; Falls Church; USA,6
9426,"Department of Computer Science, Virginia Tech, Blacksburg, USA 24061",Department of Computer Science<ORG>; Virginia Tech<LOC>; Blacksburg<LOC>; USA<LOC>,Department of Computer Science; Virginia Tech; Blacksburg; USA,4
1356,"Department of Computer Science, Wichita State University, Wichita, KS",Department of Computer Science<ORG>; Wichita State University<ORG>; Wichita<ORG>; KS<ORG>,Department of Computer Science; Wichita State University; Wichita; KS,4
7984,"Department of Computer Science, Worcester Polytechnic Institute, MA 01609-2280, Worcester, USA",Department of Computer Science<ORG>; Worcester Polytechnic Institute<ORG>; MA<LOC>; Worcester<LOC>; USA<LOC>,Department of Computer Science; Worcester Polytechnic Institute; MA; Worcester; USA,5
8243,"Department of Computer Science, Worcester Polytechnic Institute, USA",Department of Computer Science<ORG>; Worcester Polytechnic Institute<ORG>; USA<LOC>,Department of Computer Science; Worcester Polytechnic Institute; USA,3
907,"Department of Computer Science, Worcester Polytechnic Institute, Worcester, MA",Department of Computer Science<ORG>; Worcester Polytechnic Institute<ORG>; Worcester<LOC>; MA<LOC>,Department of Computer Science; Worcester Polytechnic Institute; Worcester; MA,4
6740,"Department of Computer Science, Wright State University, Dayton, OH",Department of Computer Science<ORG>; Wright State University<ORG>; Dayton<ORG>; OH<LOC>,Department of Computer Science; Wright State University; Dayton; OH,4
887,"Department of Computer Science, Zhejiang University, HangZhou, P.R.China",Department of Computer Science<ORG>; Zhejiang University<ORG>; HangZhou<ORG>; P.R.China<PER>,Department of Computer Science; Zhejiang University; HangZhou; P.R.China,4
7958,"Department of Computer Sciences, Purdue University, 250 N. University Street, IN 47907, West Lafayette, USA",Department of Computer Sciences<ORG>; Purdue University<ORG>; 250 N. University Street<ORG>; West Lafayette<LOC>; USA<LOC>,Department of Computer Sciences; Purdue University; 250 N. University Street; West Lafayette; USA,5
7889,"Department of Computer Sciences, Purdue University, 250 N. University Street, West Lafayette, IN 47907 USA; e-mail: ake@cs.purdue.edu",Department of Computer Sciences<ORG>; Purdue University<ORG>; 250 N. University Street<ORG>; West Lafayette<LOC>; USA<LOC>; ake@cs.purdue.edu<LOC>,Department of Computer Sciences; Purdue University; 250 N. University Street; West Lafayette; USA; ake@cs.purdue.edu,6
8060,"Department of Computer Sciences, Purdue University, USA",Department of Computer Sciences<ORG>; Purdue University<ORG>; USA<LOC>,Department of Computer Sciences; Purdue University; USA,3
1512,"Department of Computer Sciences, Purdue University, West Lafayette IN",Department of Computer Sciences<ORG>; Purdue University<ORG>; West Lafayette<ORG>,Department of Computer Sciences; Purdue University; West Lafayette,3
1216,"Department of Computer Sciences, Purdue University, West Lafayette, IN",Department of Computer Sciences<ORG>; Purdue University<ORG>; West Lafayette<ORG>; IN<LOC>,Department of Computer Sciences; Purdue University; West Lafayette; IN,4
7882,"Department of Computer Sciences, Purdue University, West Lafayette, IN 47907-1398, USA",Department of Computer Sciences<ORG>; Purdue University<ORG>; West Lafayette<ORG>; USA<LOC>,Department of Computer Sciences; Purdue University; West Lafayette; USA,4
